,name,coretype,corethreads,corenum,instuctions_val,cycles_val,mis_pred,l1d_c,l1i_c,l2d_c,exec_time,filename
22,blackscholes,A15,2,"4,5,6,7",2895983953,3553563519,10786666,9036596,1971558,529916,1.130772995,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
23,blackscholes,A15,4,"4,5,6,7",2895988364,3534613120,10867094,9698946,2071304,427802,0.764720869,/Users/oluwafemiajeigbe/Downloads/new_file/runbl1.txt
24,blackscholes,A7,1,0,2895973621,2341614958,39819998,10650098,4665773,2870464,4.830296888,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
25,blackscholes,A7,2,0,2900221699,2430813740,39870977,10684350,4324322,2883703,4.987289767,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
26,blackscholes,A7,4,0,2897928654,2174805475,39814361,11367650,4367686,2871441,4.732149777,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
27,blackscholes,A7,1,"0,1",2895801459,2269099827,39822874,9814613,4346215,2882333,4.802701000,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
28,blackscholes,A7,2,"0,1",2896177654,2298551309,39823892,11491931,4663469,2878212,2.935263842,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
29,blackscholes,A7,4,"0,1",2897347434,2157740412,39780241,11870275,4305251,2721627,2.802504017,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
30,blackscholes,A7,1,"0,1,2",2899134012,2413479485,39725041,10585581,4841096,2890813,5.328723213,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
31,blackscholes,A7,2,"0,1,2",2896715739,2160672226,39737387,11325892,4330285,2880013,2.802170631,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
32,blackscholes,A7,4,"0,1,2",2894345655,2230105144,39773946,12215213,4740904,2712388,2.430105858,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
33,blackscholes,A7,1,"0,1,2,3",2900544209,2181509942,39816957,12030271,4780213,2893674,5.017335185,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
34,blackscholes,A7,2,"0,1,2,3",2899582671,2236710166,39768545,11065269,4686613,2875405,2.894189924,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
35,blackscholes,A7,4,"0,1,2,3",2897297878,2184821173,39897705,11830075,4395517,2890560,1.961868737,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
36,blackscholes,A15,1,4,2895980742,3581172429,10875415,8955371,2368300,616682,1.832517226,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
37,blackscholes,A15,2,4,2895982934,3548574705,10680635,9134977,1906709,571417,1.817894043,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
38,blackscholes,A15,4,4,2895987467,3614248801,10897031,9349284,2030741,432489,1.875946715,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
39,blackscholes,A15,1,"4,5",2895981048,3541065331,10806372,8788968,2157577,679938,1.809289893,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
40,blackscholes,A15,2,"4,5",2895983301,3553789972,10917038,10040533,2368910,600934,1.116445063,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
41,blackscholes,A15,4,"4,5",2895987712,3546146241,10839791,8600793,1909823,391019,1.131128894,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
42,blackscholes,A15,1,"4,5,6",2895981351,3617337558,10820402,9072063,2337505,523293,1.876366962,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
43,blackscholes,A15,2,"4,5,6",2895983543,3659269264,10864318,9429760,1928240,576316,1.183440854,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
44,blackscholes,A15,4,"4,5,6",2895988015,3616990762,10849933,9038097,2384103,302507,1.006348052,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
45,blackscholes,A15,1,"4,5,6,7",2895981700,3616834517,10764172,9624528,1983351,768479,1.854765762,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
46,blackscholes,A15,2,"4,5,6,7",2895983959,3523761252,10814763,9349908,2120340,444956,1.109585484,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
47,blackscholes,A15,4,"4,5,6,7",2895988364,3543706113,10652444,9512116,1975987,511196,0.769976313,/Users/oluwafemiajeigbe/Downloads/new_file/runbl2.txt
48,blackscholes,A7,1,0,2896558600,2280210863,39814448,12079080,4661643,2881297,4.938930970,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
49,blackscholes,A7,2,0,2899176701,2245586571,39769916,11877964,4761623,2876226,4.821087666,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
50,blackscholes,A7,4,0,2902224069,2269028748,39850826,11375881,4742709,2873856,5.090211327,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
51,blackscholes,A7,1,"0,1",2897613188,2282985268,39786285,10832586,4641525,2888044,4.861727001,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
52,blackscholes,A7,2,"0,1",2896883234,2328927112,39843614,10834521,4736850,2892414,2.991290404,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
53,blackscholes,A7,4,"0,1",2897260124,2234803834,39813874,12285460,4701623,2749163,2.940709381,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
54,blackscholes,A7,1,"0,1,2",2898306364,2335611546,39794933,12176315,4352199,2883959,4.882315277,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
55,blackscholes,A7,2,"0,1,2",2899288047,2338882686,39809114,11070784,4745626,2889528,2.962111734,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
56,blackscholes,A7,4,"0,1,2",2899012710,2258815891,39806632,11676033,4314200,2693936,2.423214865,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
57,blackscholes,A7,1,"0,1,2,3",2899777033,2615161260,40011720,11331870,4873205,2984197,5.199877989,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
58,blackscholes,A7,2,"0,1,2,3",2896600487,2600493361,39896967,11717061,4346540,2899871,3.305230685,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
59,blackscholes,A7,4,"0,1,2,3",2893897438,2642198906,39868130,12265236,4671227,2899630,2.266570850,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
60,blackscholes,A15,1,4,2895980742,3690994399,10846593,9444511,2118487,594121,1.915508527,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
61,blackscholes,A15,2,4,2895982934,3595121890,10946919,8763197,1932387,531824,1.852259385,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
62,blackscholes,A15,4,4,2895987406,3625734315,10812206,8928924,2103168,449993,1.882729134,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
63,blackscholes,A15,1,"4,5",2895981048,3614781611,10805077,9124272,2127938,621105,1.854907041,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
64,blackscholes,A15,2,"4,5",2895983240,3546459976,10802891,10047493,1954146,610730,1.114611155,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
65,blackscholes,A15,4,"4,5",2895987712,3645408629,10820444,9116957,1996760,462223,1.164404120,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
66,blackscholes,A15,1,"4,5,6",2895981351,3628986790,10950012,8237825,2359218,778012,1.866041237,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
67,blackscholes,A15,2,"4,5,6",2895983604,3570978719,10769942,9513329,2148546,725532,1.128094024,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
68,blackscholes,A15,4,"4,5,6",2895988076,3577725800,10793233,9987014,1935935,437546,0.962051328,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
69,blackscholes,A15,1,"4,5,6,7",2895981880,3624552374,10745874,10107642,5573822,629954,1.858446972,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
70,blackscholes,A15,2,"4,5,6,7",2895983953,3600052852,10987448,9520146,2368517,504780,1.136422851,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
71,blackscholes,A15,4,"4,5,6,7",2895988425,3549275620,10789203,9030874,1885183,525837,0.772036498,/Users/oluwafemiajeigbe/Downloads/new_file/runbl3.txt
